"state","TwoBedroomApartment_Listings","Rent2BR2BA_MinPrice","Rent2BR2BA_MaxPrice","Rent2BR2BA_AvgPrice"
"AK",65,1503.81355932203,1633.875,1533.51694915254
"AL",428,1033.47846889952,1429.0534591195,1171.42942583732
"AR",253,936.770491803279,1338.38764044944,1071.28278688525
"AZ",784,1316.17700258398,1977.1124260355,1595.76098191214
"CA",753,2800.09421265141,4221.74330708661,3384.55518169583
"CO",575,1721.98407079646,2736.89885496183,2183.48672566372
"CT",168,2133.225,3099.87603305785,2452.6875
"DE",334,1866.11009174312,2874.25938566553,2313.07798165138
"FL",788,1577.30719794344,2200.03963414634,1824.75514138817
"GA",603,1553.58922558923,2586.09854014599,2017.37037037037
"HI",70,2770.38709677419,4728,2824.53225806452
"IA",204,1139.71134020619,1424.75,1237.36082474227
"ID",87,1287,1553.04615384615,1394.8417721519
"IL",262,2071.37007874016,3225.27753303965,2556.15748031496
"IN",315,1113.38032786885,1540.0572519084,1288.65573770492
"KS",468,1127.66013071895,1479.31182795699,1263.55337690632
"KY",256,1109.27822580645,1596.68780487805,1292.63709677419
"LA",395,1094.61917098446,1442.28421052632,1213.4481865285
"MA",241,3222.7264957265,5231.7032967033,4012.00213675214
"MD",375,1796.28415300546,2636.66363636364,2168.76912568306
"ME",23,1978.10526315789,2413.57142857143,2057.21052631579
"MI",256,1457.9837398374,1978.08780487805,1672.76422764228
"MN",239,1896.62393162393,2916.16748768473,2336.38247863248
"MO",353,1276.54518950437,1928.35144927536,1515.12536443149
"MS",162,927.471337579618,1132.56074766355,989.050955414013
"MT",31,1428.88888888889,1908.07692307692,1532.77777777778
"NC",765,1221.8544973545,1830.32137518685,1475.94841269841
"ND",177,1007.26785714286,1197.11818181818,1083.62202380952
"NE",197,1102.75916230366,1466.07594936709,1255.53664921466
"NH",50,1881.9347826087,2578.21428571429,2081.8152173913
"NJ",216,2764.93301435407,3838.59821428571,3002.7009569378
"NM",269,1079.60076045627,1485.5,1203.45627376426
"NV",671,1314.59577677225,1965.4547008547,1600.14630467572
"NY",253,2872.73360655738,3553.71875,3188.72745901639
"OH",404,1353.33670886076,1898.87575757576,1582.95949367089
"OK",365,915.310055865922,1201.04529616725,1023.37988826816
"OR",332,1735.47678018576,2400.27737226277,2008.77089783282
"PA",265,1954.68482490272,3043.78604651163,2397.98054474708
"RI",176,3107.2774566474,4343.53896103896,3796.19653179191
"SC",515,1263.22682445759,1730.0199556541,1469.33333333333
"SD",74,1010.91304347826,1226.28125,1060.1231884058
"TN",461,1286.43458980044,1948.64516129032,1534
"TX",1042,1380.98451113262,2126.05353319058,1702.89738625363
"UT",234,1346.39035087719,1743.19,1515.25
"VA",573,1706.4404973357,2656.21074380165,2086.79218472469
"VT",26,1653.625,1825,1654.66666666667
"WA",532,1991.10727969349,3080.24528301887,2404.33908045977
"WI",285,1555.57608695652,2010.98312236287,1751.11775362319
"WV",32,929.111111111111,1384.54545454545,1020.7962962963
"WY",27,802.217391304348,981.7,836.217391304348
