"state","total_state_population","percent_black","percent_white","percent_two_or_more","percent_Native_American","percent_Asian","percent_Pacific_Islander","percent_Latino"
"Alabama","4887871","26.7","67.7","2.1","0.5","1.3","0.0","4.3"
"Alaska","737438","3.4","64.4","8.4","15.1","6.3","1.1","7.2"
"Arizona","7171646","4.7","78.0","4.0","4.6","3.3","0.2","31.6"
"Arkansas","3013825","15.2","76.5","2.9","0.7","1.6","0.3","7.6"
"California","39557045","5.8","59.5","5.1","0.8","14.7","0.4","39.3"
"Colorado","5695564","4.2","84.1","4.0","1.0","3.2","0.1","21.7"
"Connecticut","3572665","11.0","75.2","3.4","0.3","4.6","0.0","16.5"
"Delaware","967171","22.5","68.2","2.7","0.5","4.0","0.1","9.5"
"Florida","21299325","16.0","74.6","2.9","0.3","2.8","0.1","26.1"
"Georgia","10519475","31.6","58.3","2.7","0.3","4.1","0.1","9.7"
"Hawaii","1420491","2.0","24.3","24.3","0.2","37.6","10.2","10.7"
"Idaho","1754208","0.7","89.9","3.0","1.3","1.5","0.2","12.7"
"Illinois","12741080","14.1","71.7","2.7","0.3","5.6","0.0","17.3"
"Indiana","6691878","9.5","82.8","2.7","0.2","2.3","0.1","7.1"
"Iowa","3156145","3.6","90.2","2.2","0.4","2.5","0.1","6.1"
"Kansas","2911510","5.9","84.0","3.7","0.9","2.8","0.1","12.0"
"Kentucky","4468402","7.9","86.7","2.4","0.2","1.5","0.1","3.6"
"Louisiana","4659978","32.4","61.7","2.3","0.6","1.6","0.0","5.1"
"Maine","1338404","1.4","94.3","2.2","0.6","1.2","0.0","1.7"
"Maryland","6042718","30.0","54.7","3.7","0.2","6.3","0.1","10.4"
"Massachusetts","6902149","7.8","77.3","3.4","0.2","6.8","0.0","12.3"
"Michigan","9995915","13.8","78.3","2.9","0.5","3.3","0.0","5.2"
"Minnesota","5611179","6.6","82.5","3.1","1.1","4.9","0.0","5.5"
"Mississippi","2986530","38.0","58.1","1.5","0.4","0.9","0.0","2.9"
"Missouri","6126452","11.5","82.2","2.8","0.5","2.0","0.1","4.1"
"Montana","1062305","0.5","88.6","3.1","6.4","0.8","0.1","3.9"
"Nebraska","1929268","4.7","86.4","3.1","1.0","2.4","0.1","11.1"
"Nevada","3034392","9.2","63.4","5.1","1.5","8.2","0.6","29.0"
"New Hampshire","1356458","1.7","92.4","2.2","0.3","2.7","0.0","3.9"
"New Jersey","8908520","13.6","66.9","2.8","0.2","9.7","0.0","20.6"
"New Mexico","2095428","2.2","76.4","3.2","9.6","1.6","0.1","49.1"
"New York","19542209","15.7","63.3","3.3","0.4","8.5","0.0","19.2"
"North Carolina","10383620","21.4","68.4","2.9","1.2","3.0","0.1","9.6"
"North Dakota","760077","3.4","85.7","2.3","5.4","1.8","0.0","3.6"
"Ohio","11689442","12.4","81.0","3.1","0.2","2.3","0.0","3.9"
"Oklahoma","3943079","7.3","72.2","7.7","7.8","2.1","0.1","10.9"
"Oregon","4190713","2.0","83.9","4.7","1.2","4.6","0.4","13.3"
"Pennsylvania","12807060","11.2","80.1","2.6","0.2","3.6","0.0","7.6"
"Rhode Island","1057315","6.7","80.7","3.1","0.4","3.4","0.1","15.9"
"South Carolina","5084127","26.6","67.0","2.4","0.5","1.6","0.1","5.8"
"South Dakota","882235","2.2","84.0","2.7","8.8","1.7","0.0","3.9"
"Tennessee","6770010","16.8","77.3","2.2","0.3","1.8","0.1","5.5"
"Texas","28701845","12.3","73.5","2.7","0.5","5.0","0.1","39.6"
"Utah","3161105","1.3","85.7","3.2","1.1","2.4","0.9","14.2"
"Vermont","626299","1.2","94.1","2.0","0.3","1.9","0.0","2.0"
"Virginia","8517685","19.2","67.4","4.1","0.3","6.5","0.1","9.5"
"Washington","7535591","3.9","74.8","6.0","1.3","8.8","0.7","12.9"
"West Virginia","1805832","3.8","93.0","1.9","0.1","0.7","0.0","1.4"
"Wisconsin","5813568","6.4","85.3","2.5","0.9","2.8","0.0","6.9"
"Wyoming","577737","0.6","91.5","2.4","2.8","1.0","0.2","10.0"
