"state","collsion_businessListings"
"AK",281
"AL",632
"AR",509
"AZ",1502
"CA",1373
"CO",1285
"CT",996
"DE",1085
"FL",1216
"GA",968
"HI",347
"IA",346
"ID",293
"IL",1127
"IN",925
"KS",747
"KY",565
"LA",705
"MA",1421
"MD",1489
"ME",368
"MI",1396
"MN",1364
"MO",870
"MS",455
"MT",278
"NC",824
"ND",275
"NE",365
"NH",676
"NJ",1473
"NM",439
"NV",1059
"NY",1297
"OH",1095
"OK",799
"OR",577
"PA",1086
"RI",1389
"SC",517
"SD",300
"TN",725
"TX",1256
"UT",832
"VA",846
"VT",286
"WA",1227
"WI",543
"WV",311
"WY",228
