"state","jail or prison_businessListings"
"AK",170
"AL",280
"AR",230
"AZ",514
"CA",471
"CO",593
"CT",536
"DE",294
"FL",536
"GA",446
"HI",285
"IA",247
"ID",220
"IL",402
"IN",329
"KS",360
"KY",230
"LA",394
"MA",863
"MD",841
"ME",175
"MI",444
"MN",461
"MO",424
"MS",331
"MT",86
"NC",343
"ND",110
"NE",170
"NH",297
"NJ",1269
"NM",164
"NV",321
"NY",733
"OH",469
"OK",278
"OR",302
"PA",596
"RI",628
"SC",225
"SD",101
"TN",351
"TX",438
"UT",431
"VA",561
"VT",91
"WA",470
"WI",302
"WV",204
"WY",69
