"state","massage spa_businessListings"
"AK",1083
"AL",1081
"AR",1040
"AZ",1523
"CA",1518
"CO",1459
"CT",1511
"DE",1231
"FL",1516
"GA",1268
"HI",1453
"IA",1223
"ID",1138
"IL",1438
"IN",1287
"KS",1207
"KY",1100
"LA",1254
"MA",1512
"MD",1478
"ME",1207
"MI",1515
"MN",1415
"MO",1387
"MS",898
"MT",828
"NC",1507
"ND",687
"NE",606
"NH",1219
"NJ",1505
"NM",850
"NV",1514
"NY",1507
"OH",1507
"OK",1139
"OR",1492
"PA",1457
"RI",1489
"SC",1411
"SD",416
"TN",1324
"TX",1404
"UT",1443
"VA",1352
"VT",851
"WA",1527
"WI",1320
"WV",450
"WY",317
