"state","tanning_businessListings"
"AK",281
"AL",357
"AR",336
"AZ",1336
"CA",1120
"CO",1158
"CT",930
"DE",596
"FL",892
"GA",796
"HI",203
"IA",514
"ID",375
"IL",893
"IN",662
"KS",808
"KY",567
"LA",528
"MA",1598
"MD",1753
"ME",562
"MI",1130
"MN",1165
"MO",1064
"MS",301
"MT",124
"NC",744
"ND",136
"NE",319
"NH",534
"NJ",1342
"NM",188
"NV",1141
"NY",1075
"OH",1083
"OK",793
"OR",804
"PA",956
"RI",1108
"SC",553
"SD",101
"TN",476
"TX",916
"UT",762
"VA",682
"VT",110
"WA",1256
"WI",592
"WV",299
"WY",68
