"state","university or college_businessListings"
"AK",368
"AL",790
"AR",576
"AZ",1515
"CA",1369
"CO",1295
"CT",1298
"DE",927
"FL",1344
"GA",1085
"HI",1270
"IA",685
"ID",380
"IL",1133
"IN",1128
"KS",1045
"KY",1043
"LA",922
"MA",1302
"MD",1343
"ME",473
"MI",1377
"MN",1257
"MO",1312
"MS",792
"MT",247
"NC",1187
"ND",259
"NE",451
"NH",658
"NJ",1447
"NM",602
"NV",1217
"NY",1443
"OH",1181
"OK",1212
"OR",904
"PA",1110
"RI",1190
"SC",893
"SD",187
"TN",1014
"TX",1240
"UT",1065
"VA",1384
"VT",471
"WA",1360
"WI",719
"WV",359
"WY",156
