"state","jobsListed","MinHourlySalary","MaxHourlySalary","MinAnnualSalary","MaxAnnualSalary","avgHourly","avgAnualSalary"
"AK",28,15,15,40000,50000,15,45000
"AL",64,16.1333333333333,43.2,25000,50000,29.6666666666667,37500
"AR",63,20,23,35000,50000,21.5,42500
"AZ",225,13.9466666666667,73.6444444444444,34333.3333333333,67164.4444444444,43.7955555555556,50748.8888888889
"CA",206,15.620145631068,70.8252427184466,43373.9285714286,54267.8571428571,43.2226941747573,48820.8928571429
"CO",237,11.7963713080169,76.8776371308017,25000,62000,44.3370042194093,43500
"CT",208,16,70,26250,66875,43,46562.5
"DE",176,18,48.2165605095541,34000,59031.847133758,33.1082802547771,46515.923566879
"FL",229,14.2751091703057,67.9039301310044,33296.9432314411,74768.5589519651,41.089519650655,54032.7510917031
"GA",92,20,125,25000,60000,72.5,42500
"HI",82,27,50,NA,NA,38.5,NA
"IA",125,18.696,35.008,26569.7674418605,57709.3023255814,26.852,42139.5348837209
"ID",162,15,60,NA,NA,37.5,NA
"IL",231,10,65,28268.3982683983,77463.2034632035,37.5,52865.8008658009
"IN",110,18.5909090909091,47.9,25000,59947.9166666667,33.2454545454545,42473.9583333333
"KS",156,15,50,37009.0769230769,57755.9615384615,32.5,47382.5192307692
"KY",133,26.5187969924812,49.4736842105263,37067.6691729323,69135.3383458647,37.9962406015038,53101.5037593985
"LA",87,27.5287356321839,49.4252873563218,NA,NA,38.4770114942529,NA
"MA",227,14.0484581497797,54.8678414096916,21629.9559471366,65000,34.4581497797357,43314.9779735683
"MD",219,15.2602739726027,90,42242.0091324201,83045.6621004566,52.6301369863014,62643.8356164384
"ME",63,28,49.2222222222222,NA,NA,38.6111111111111,NA
"MI",221,14.539592760181,76.606334841629,34579.185520362,73687.7828054299,45.572963800905,54133.4841628959
"MN",176,13.7215909090909,60.5681818181818,22378.1818181818,76116.9090909091,37.1448863636364,49247.5454545455
"MO",170,19.8235294117647,54.3352941176471,29219.8581560284,62156.0283687943,37.0794117647059,45687.9432624113
"MS",71,35,78,35197.2631578947,60106.5263157895,56.5,47651.8947368421
"MT",32,30,30,NA,NA,30,NA
"NC",194,18.680412371134,77.1443298969072,26134.0206185567,56597.9381443299,47.9123711340206,41365.9793814433
"ND",38,23,25,39000,55000,24,47000
"NE",183,23.2349726775956,63.6065573770492,38514.3211009174,53577.9816513761,43.4207650273224,46046.1513761468
"NH",134,16.3880597014925,41.7611940298507,26940.2985074627,67686.5671641791,29.0746268656716,47313.4328358209
"NJ",236,15.3305084745763,125,32000,1e+05,70.1652542372881,66000
"NM",157,18.515923566879,63.343949044586,39493,45592,40.9299363057325,42542.5
"NV",203,11.3004926108374,101.389162561576,38674.8768472906,47453.2019704433,56.3448275862069,43064.039408867
"NY",196,17.6734693877551,73.2142857142857,35688.7755102041,62270.4081632653,45.4438775510204,48979.5918367347
"OH",207,14.6714975845411,83.8647342995169,29378.2801932367,64107.6570048309,49.268115942029,46742.9685990338
"OK",166,18.1506024096386,70,32176.9911504425,43168.1415929204,44.0753012048193,37672.5663716814
"OR",142,16.7464788732394,54.0140845070423,36000,60000,35.3802816901408,48000
"PA",248,18.8736290322581,64.1877419354839,22376.5432098765,61464.4259259259,41.530685483871,41920.4845679012
"RI",207,10.25,75,25000,62507,42.625,43753.5
"SC",177,20.8248587570621,62.9943502824859,NA,NA,41.909604519774,NA
"SD",43,24.0697674418605,29.4651162790698,NA,NA,26.7674418604651,NA
"TN",172,12.2093023255814,58.5581395348837,27933.1395348837,62662.7906976744,35.3837209302326,45297.9651162791
"TX",237,11.0464135021097,58.3333333333333,31814.3459915612,72881.8565400844,34.6898734177215,52348.1012658228
"UT",237,12.2447257383966,58.1223628691983,29223.6286919831,47907.1729957806,35.1835443037975,38565.4008438819
"VA",233,15.6695278969957,70,37977,45071,42.8347639484979,41524
"VT",62,13.7096774193548,28.0645161290323,NA,NA,20.8870967741935,NA
"WA",224,18.8482142857143,60.625,50000,50000,39.7366071428571,50000
"WI",171,8.23355263157895,63.5773026315789,25328.9473684211,75986.8421052632,35.9054276315789,50657.8947368421
"WV",62,16.5483870967742,29.1612903225806,NA,NA,22.8548387096774,NA
"WY",26,20,59.0909090909091,NA,NA,39.5454545454545,NA
NA,14,NA,NA,NA,NA,NA,NA
