"State","X6.30.2020"
"AK",244501.666666667
"AL",104537.098360656
"AR",114929.764705882
"AZ",240336.2890625
"CA",669171.593283582
"CO",327365.428571429
"CT",212252.404761905
"DE",215976.058823529
"FL",215245.234234234
"GA",192060.489795918
"HI",574836.5625
"IA",129324.619047619
"ID",238004.333333333
"IL",202689.329896907
"IN",125366.6875
"KS",152226.633802817
"KY",193124.316666667
"LA",141609.861538462
"MA",537437.753424658
"MD",207428.659574468
"ME",301941.266666667
"MI",107764.583333333
"MN",252568.040816327
"MO",143279.218181818
"MS",81255.4230769231
"MT",240545.869565217
"NC",166565.931034483
"ND",160193.5
"NE",192748.952380952
"NH",227562.85
"NJ",259979.785714286
"NM",180789.564102564
"NV",264014.692307692
"NY",637718.648535565
"OH",102083.288
"OK",109105.352941176
"OR",364129.810344828
"PA",172920.62
"RI",252537.9
"SC",181933.171428571
"SD",164059.75
"TN",177130.291666667
"TX",195904.483180428
"UT",319213.451612903
"VA",252271.369863014
"VT",193815.545454545
"WA",417702.860759494
"WI",170618.961538462
"WV",82370
"WY",240742.714285714
