"State","X2020.05.31"
"AK",244762
"AL",93323.5
"AR",115130
"AZ",200447
"CA",627870.5
"CO",266867
"CT",249270.5
"DE",142480.5
"FL",287185
"GA",55150.5
"HI",306563
"IA",105498.5
"ID",236233
"IL",184647.5
"IN",83773
"KS",129371.5
"KY",131360
"LA",81342.5
"MA",195805.5
"MD",225819.5
"ME",142633.5
"MI",118743
"MN",187554
"MO",83029
"MS",97128
"MT",217002.5
"NC",157095
"ND",178108
"NE",151995.5
"NH",217130
"NJ",226637
"NM",137343
"NV",282642.5
"NY",95848
"OH",101587
"OK",103543
"OR",253686.5
"PA",147670.5
"RI",231550.5
"SC",180467
"SD",156400.5
"TN",185365
"TX",153400
"UT",262224
"VA",163733
"VT",187487.5
"WA",255647.5
"WI",172931.5
"WV",111134
"WY",181051.5
